"","Pop_1","Pop_2","Pop_3"
"loc0098",1,NA,NA
"loc0099",NA,NA,1
"loc0100",1,NA,NA
"loc0101",NA,1,0.64
"loc0102",NA,NA,1
"loc0103",NA,1,0.64
"loc0104",NA,1,0.8
"loc0105",NA,1,NA
"loc0106",1,NA,NA
"loc0107",1,NA,1
"loc0108",1,NA,NA
"loc0109",1,NA,NA
"loc0110",NA,NA,1
"loc0111",1,1,NA
"loc0112",NA,NA,1
"loc0113",-1,-0.7143,-1
"loc0114",NA,-0.2,-0.5
"loc0115",NA,-0.0909,0
"loc0116",0.6316,NA,NA
"loc0117",0.6316,-0.0909,0
"loc0118",NA,-0.0909,0
"loc0119",0.5172,-0.0909,-0.5
"loc0120",NA,1,0
"loc0121",-0.0769,0,NA
"loc0122",-0.0769,0.625,0.25
"loc0123",-0.0769,NA,-0.2
"loc0124",NA,-0.0909,NA
"loc0125",0,0.625,NA
"loc0126",0,1,NA
"loc0127",NA,-0.2,NA
"loc0128",-0.2727,NA,NA
"loc0129",NA,-0.0909,NA
"loc0130",0,0.2174,-0.2857
"loc0131",NA,0,0.4194
"loc0132",NA,NA,-0.0588
"loc0133",-0.1667,-0.0909,-0.2857
"loc0134",NA,-0.0909,NA
"loc0135",0.3,NA,0
"loc0136",NA,NA,-0.0588
"loc0137",-0.0769,0,-0.0588
"loc0138",-0.1667,-0.2,-0.0588
"loc0139",-0.2727,-0.5,-0.125
"loc0140",0,NA,0
"loc0141",NA,0,0
"loc0142",-0.2727,0.625,0.1
"loc0143",NA,0.3684,-0.0588
"loc0144",-0.0769,0.3684,0.4194
"loc0145",-0.1667,0.625,0.1
"loc0146",0.3913,1,0.1
"loc0147",-0.1667,1,0.1
"loc0148",-0.5556,0.4783,0.0426
"loc0149",-0.1667,0.3684,0.1
"loc0150",0,NA,0
"loc0151",-0.1667,0.3684,0.1
"loc0152",-0.1667,0.3684,0.1
"loc0153",-0.1667,0.3684,0.1
"loc0154",0,NA,0
"loc0155",-0.1667,-0.0909,-0.2857
"loc0156",0.3,0.3684,-0.2
"loc0157",NA,0,0
"loc0158",0,0,0
"loc0159",0,-0.2,-0.2857
"loc0160",-0.1667,0.3684,0.25
"loc0161",-0.0769,0,-0.0588
"loc0162",-0.0769,0,-0.3846
"loc0163",0,0,NA
"loc0164",0.1923,NA,0.1
"loc0165",NA,0,0
"loc0166",NA,NA,-0.0588
"loc0167",NA,0,-0.0588
"loc0168",NA,0,-0.0588
"loc0169",NA,0,-0.0588
"loc0170",NA,0,0
"loc0171",-0.1667,-0.0909,-0.2
"loc0172",0.0667,0.4783,-0.1489
"loc0173",NA,NA,-0.0588
"loc0174",0.3913,1,-0.0588
"loc0175",0.3913,0.3684,-0.0588
"loc0176",0.3913,0.3684,-0.0588
"loc0177",-0.0769,0,-0.125
"loc0178",NA,0.3684,-0.2
"loc0179",0,-0.0909,0.4194
"loc0180",NA,NA,-0.0588
"loc0181",-0.1667,NA,-0.125
"loc0182",-0.0769,-0.5,0.25
"loc0183",0.0667,0.2174,-0.2
"loc0184",-0.75,-0.3333,-0.8
"loc0185",NA,0,0.64
"loc0186",NA,0,0.64
"loc0187",0.3913,0,0
"loc0188",0.7742,NA,NA
"loc0189",0,NA,0
"loc0190",NA,0.1429,-0.3846
"loc0191",0,-0.7143,-0.6364
"loc0192",NA,0,0
"loc0193",0,0.4783,0.7568
"loc0194",-0.0769,NA,NA
"loc0195",-0.0769,NA,NA
"loc0196",-0.0769,-0.0909,-0.0588
"loc0197",0,0,-0.0588
"loc0198",0,0,0
"loc0199",0,0,0
"loc0200",-0.2727,-0.2,0
"loc0201",0.5172,0.625,-0.2857
"loc0202",0,-0.0909,-0.0588
"loc0203",NA,0,-0.125
"loc0204",NA,NA,0.4194
"loc0205",0,NA,0
"loc0206",NA,0.3684,NA
"loc0207",NA,0,-0.0588
"loc0208",0,0,0
"loc0209",-0.0769,-0.2,0
"loc0210",-0.0769,-0.2,0
"loc0211",NA,NA,-0.0588
"loc0212",0,0.625,0.561
"loc0213",0,0.625,0.561
"loc0214",-0.2727,-0.0909,0.2174
"loc0215",-0.2069,0.625,0.8163
"loc0216",NA,NA,-0.0588
"loc0217",NA,NA,-0.0588
"loc0218",0,0,NA
"loc0219",0,-0.0909,0.25
"loc0220",0,0,0.25
"loc0221",0,NA,0
"loc0222",0,NA,0
"loc0223",0,0,NA
"loc0224",0,NA,0
"loc0225",-0.1667,-0.0909,-0.125
"loc0226",-0.1667,-0.2,-0.125
"loc0227",-0.2727,-0.7143,-0.125
"loc0228",0,0,NA
"loc0229",-0.1667,0.3684,0.25
"loc0230",NA,0,0
"loc0231",0,0,0.4194
"loc0232",0,0,0.4194
"loc0233",NA,NA,-0.2
"loc0234",NA,0,0
"loc0235",NA,NA,-0.0588
"loc0236",0,-0.2,-0.0588
"loc0237",0,-0.0909,NA
"loc0238",0.1923,-0.5,-0.2
"loc0239",-0.0769,0,-0.0588
"loc0240",-0.2727,0.625,0.4194
"loc0241",-0.2069,-0.3636,-0.5
"loc0242",-0.2069,0.3684,-0.2
"loc0243",0,0,0
"loc0244",NA,NA,0.64
"loc0245",1,0,-0.0588
"loc0246",0,NA,0
"loc0247",-0.2727,0.3684,-0.2
"loc0248",-0.0769,NA,NA
"loc0249",0,0,NA
"loc0250",0,0.625,0
"loc0251",-0.0769,-0.2,-0.125
"loc0252",NA,0.625,NA
"loc0253",NA,-0.0909,NA
"loc0254",NA,-0.3333,-0.2
"loc0255",0,-0.3333,-0.0588
"loc0256",0,0,-0.2
"loc0257",NA,-0.0909,NA
"loc0258",0,NA,0
"loc0259",0,0.625,-0.3696
"loc0260",-0.2069,0.3684,-0.2
"loc0261",0,0,0
"loc0262",-0.0769,-0.0909,-0.2
"loc0263",NA,NA,-0.0588
"loc0264",0,-0.0909,-0.0588
"loc0265",0,NA,-0.0588
"loc0266",-0.0769,0,-0.0588
"loc0267",-0.1667,NA,NA
"loc0268",-0.0769,NA,NA
"loc0269",NA,NA,-0.0588
"loc0270",0,0,-0.0588
"loc0271",NA,NA,-0.2857
"loc0272",NA,NA,1
"loc0273",-0.0769,0,0
"loc0274",-0.0769,0,0
"loc0275",-0.2727,0,0
"loc0276",NA,0,0
"loc0277",-0.0769,0,NA
"loc0278",0.3,1,0.4375
"loc0279",0,0,NA
"loc0280",0,1,0
"loc0281",0.3,-0.0909,0.25
"loc0282",-0.1667,-0.0909,-0.0588
"loc0283",0.3,-0.3333,0.0426
"loc0284",-0.4,NA,NA
"loc0285",0.6316,-0.3333,-0.0465
"loc0286",NA,0.625,NA
"loc0287",-0.1667,-0.3333,-0.2
"loc0288",-0.0769,0,NA
"loc0289",-0.1667,NA,-0.125
"loc0290",NA,0,-0.0588
"loc0291",0,NA,0
"loc0292",-0.0769,NA,NA
"loc0293",-0.0769,-0.0909,NA
"loc0294",-0.0769,NA,NA
"loc0295",0.1923,0.1429,-0.125
"loc0296",0,NA,0.25
"loc0297",NA,NA,-0.0588
"loc0298",0.1923,NA,NA
"loc0299",-0.0769,NA,NA
"loc0300",-0.0769,NA,NA
"loc0301",-0.0769,NA,NA
"loc0302",-0.0769,NA,NA
"loc0303",NA,-0.0909,-0.125
"loc0304",-0.0769,NA,NA
"loc0305",0,NA,0
"loc0306",0.3913,-0.2,-0.5
"loc0307",-0.4,0,0.4194
"loc0308",0.3,-0.0909,0.4375
"loc0309",-0.0769,1,0.561
"loc0310",0,0,-0.0588
"loc0311",-0.0769,0,-0.125
"loc0312",-0.0769,NA,NA
"loc0313",-0.1667,0,-0.0588
"loc0314",NA,0,0
"loc0315",NA,NA,-0.0588
"loc0316",NA,NA,-0.125
"loc0317",-0.0769,NA,NA
"loc0318",NA,0,-0.0588
"loc0319",0,-0.0909,0
"loc0320",NA,0,-0.0588
"loc0321",0,0,-0.0588
"loc0322",NA,0,0
"loc0323",0.7742,0.2174,-0.3846
"loc0324",NA,0,0
"loc0325",NA,0,0
"loc0326",-0.2069,0.2174,-0.5652
"loc0327",NA,0,-0.0588
"loc0328",0,0.3684,-0.125
"loc0329",0,0.3684,-0.125
"loc0330",0,0.3684,-0.125
"loc0331",0,0.3684,-0.125
"loc0332",NA,NA,-0.0588
"loc0333",-0.4,0.4783,-0.0588
"loc0334",-0.2727,-0.2,0.561
"loc0335",0,-0.2,-0.3846
"loc0336",-0.0769,-0.0909,0
"loc0337",0.1923,-0.0909,-0.125
"loc0338",NA,-0.0909,NA
"loc0339",0,0.2174,0.2174
"loc0340",NA,0,0
"loc0341",NA,0,-0.0588
"loc0342",NA,NA,-0.0465
"loc0343",1,0,-0.3846
"loc0344",-0.75,-0.3333,-0.2857
"loc0345",-0.2727,-0.2,-0.125
"loc0346",-0.2727,-0.0909,-0.2
"loc0347",-0.2727,-0.0909,-0.2
"loc0348",-0.2727,NA,-0.0588
"loc0349",-0.4,-0.5,-0.3846
"loc0350",0,-0.0909,-0.0588
"loc0351",-0.0769,0,-0.2
"loc0352",0,-0.0909,0
"loc0353",-0.4483,-0.0909,0.0426
"loc0354",0.3913,-0.2,-0.2
"loc0355",0.3913,-0.2,-0.2
"loc0356",NA,NA,-0.0588
"loc0357",0,0,0
"loc0358",-0.0769,NA,0
"loc0359",NA,0,0
"loc0360",0.6316,-0.0909,0.2174
"loc0361",-0.0769,NA,-0.0588
"loc0362",NA,-0.0909,0.561
"loc0363",NA,NA,-0.0588
"loc0364",NA,NA,-0.0588
"loc0365",-0.1667,0,-0.0588
"loc0366",0,0,-0.125
"loc0367",0.3913,0,-0.0588
"loc0368",0.1923,0,-0.2857
"loc0369",-0.0769,-0.0909,0.4194
"loc0370",-0.0769,NA,NA
"loc0371",NA,0.625,0.4194
"loc0372",NA,0,0.561
"loc0373",0,-0.5,0
"loc0374",NA,NA,0.4194
"loc0375",NA,0,0.4194
"loc0376",NA,0,0.4194
"loc0377",NA,NA,-0.0588
"loc0378",NA,NA,-0.125
"loc0379",NA,NA,-0.125
"loc0380",0,0,-0.125
"loc0381",0,0,-0.125
"loc0382",0.1923,-0.2,0
"loc0383",0.0667,-0.2,-0.125
"loc0384",0.3913,-0.2,0.1
"loc0385",NA,0.625,NA
"loc0386",NA,NA,-0.0588
"loc0387",0,NA,0
"loc0388",0,0.1429,-0.125
"loc0389",-0.0769,NA,0
"loc0390",0,NA,0
"loc0391",NA,0,0
"loc0392",NA,0,0
"loc0393",0,-0.2,-0.2
"loc0394",0.6316,-0.5,-0.2
"loc0395",NA,0,0
"loc0396",NA,NA,1
"loc0397",0,0,-0.0588
"loc0398",-0.0769,NA,NA
"loc0399",0.1923,-0.2,-0.2
"loc0400",1,-0.0909,0
"loc0401",-0.1667,-0.0909,NA
"loc0402",-0.1667,-0.0909,NA
"loc0403",NA,NA,-0.0588
"loc0404",NA,NA,-0.0588
"loc0405",NA,NA,-0.0588
"loc0406",NA,NA,-0.0588
"loc0407",NA,NA,-0.0588
"loc0408",NA,NA,-0.0588
"loc0409",NA,NA,-0.0588
"loc0410",NA,NA,-0.0588
"loc0411",NA,NA,-0.0588
"loc0412",-0.1667,0.7273,0.4375
"loc0413",0,-0.0909,-0.125
"loc0414",NA,NA,1
"loc0415",-0.0769,-0.2,-0.2857
"loc0416",0.3913,-0.3333,0.1
"loc0417",NA,-0.0909,0
"loc0418",NA,1,0
"loc0419",0.3,0.4783,0.4194
"loc0420",0.1923,0.1429,0.4194
"loc0421",0,0.625,-0.2
"loc0422",0,0.625,-0.2
"loc0423",0,0,-0.125
"loc0424",-0.0769,0,-0.125
"loc0425",-0.0769,0.3684,0
"loc0426",-0.0769,0.3684,0
"loc0427",-0.0769,0.3684,0
"loc0428",-0.0769,0.3684,0
"loc0429",-0.0769,0.3684,0
"loc0430",-0.0769,0.3684,0
"loc0431",0,-0.2,0
"loc0432",0,-0.2,0
"loc0433",NA,NA,-0.0588
"loc0434",NA,NA,-0.0588
"loc0435",0,0,-0.0588
"loc0436",NA,0,-0.0588
"loc0437",NA,0,-0.0588
"loc0438",0,0,-0.0588
"loc0439",NA,NA,-0.0588
"loc0440",NA,NA,-0.0588
"loc0441",NA,0,0
"loc0442",NA,-0.0909,-0.5
"loc0443",1,0,-0.0588
"loc0444",0.3913,0,-0.0588
"loc0445",NA,NA,-0.5
"loc0446",NA,-0.2,-0.125
"loc0447",0,NA,-0.0588
"loc0448",-0.1667,0.2174,0.6327
"loc0449",0,NA,0
"loc0450",0.3913,1,-0.0588
"loc0451",0.3913,-0.0909,0.64
"loc0452",-0.0769,NA,NA
"loc0453",0,0,-0.0465
"loc0454",-0.2727,0.2174,-0.0465
"loc0455",-0.0769,0,-0.125
"loc0456",NA,-0.0909,NA
"loc0457",-0.1667,NA,NA
"loc0458",NA,-0.0909,NA
"loc0459",NA,-0.0909,-0.0588
"loc0460",-0.1667,NA,NA
"loc0461",-0.0769,0,0.25
"loc0462",-0.0769,-0.5,-0.125
"loc0463",0,0.4783,-0.6364
"loc0464",-0.0769,-0.0909,0
"loc0465",0,NA,0
"loc0466",NA,-0.0909,-0.125
"loc0467",0,-0.2,-0.2857
"loc0468",0,NA,0
"loc0469",0,NA,0
"loc0470",-0.0769,0,-0.2857
"loc0471",0.6316,-0.2,-0.2857
"loc0472",NA,0.1429,0
"loc0473",0,0.625,0.8
"loc0474",NA,NA,-0.0588
"loc0475",0.5172,0.1429,0.25
"loc0476",0.5172,0.3684,0.25
"loc0477",-0.0769,-0.3333,0.4194
"loc0478",-0.1667,NA,NA
"loc0479",-0.1667,NA,NA
"loc0480",0.6316,0,-0.3846
"loc0481",0.6316,0,NA
"loc0482",-0.1667,NA,NA
"loc0483",0.3,1,0
"loc0484",NA,0.3684,-0.5
"loc0485",0.0667,0.4783,0.1
"loc0486",-0.5556,0.4783,-0.3696
"loc0487",-0.2727,0.3684,-0.3696
"loc0488",NA,NA,-0.0588
"loc0489",-0.1667,NA,0.4194
"loc0490",NA,NA,-0.0588
"loc0491",-0.1667,0.1429,-0.0588
"loc0492",-0.1667,NA,-0.0588
"loc0493",0,0.4783,-0.1489
"loc0494",NA,0.3684,0
"loc0495",-0.0769,0,NA
"loc0496",NA,NA,-0.0588
"loc0497",-0.0769,-0.2,NA
"loc0498",-0.5556,-0.5,-0.0465
"loc0499",-0.5556,-0.5,-0.0465
"loc0500",NA,0,0
"loc0501",-0.75,-0.5,-0.0465
"loc0502",-0.75,-0.7143,-0.2
"loc0503",NA,0,0
"loc0504",NA,0,0
"loc0505",-1,-1,-0.8
"loc0506",NA,0,0
"loc0507",-1,-1,-0.8
"loc0508",-1,-1,-0.8
"loc0509",NA,0,0
"loc0510",NA,0,0
"loc0511",NA,0,0
"loc0512",NA,0,0
"loc0513",-1,-1,-0.5652
"loc0514",NA,0,0
"loc0515",-1,-1,-0.5652
"loc0516",-1,-1,-0.5652
"loc0517",-1,-0.7143,-0.5652
"loc0518",-1,-0.7143,-0.5652
"loc0519",-1,-0.7143,-0.5652
"loc0520",-1,-0.7143,-0.5652
"loc0521",-1,-0.7143,-0.8
"loc0522",-1,-0.5,-0.8
"loc0523",-1,-0.5,-0.8
"loc0524",-1,-0.5,-0.8
"loc0525",-0.1667,-0.0909,0.64
"loc0526",NA,NA,0.64
"loc0527",NA,0,-0.2
"loc0528",-0.1667,0,-0.2857
"loc0529",-0.0769,-0.2,0
"loc0530",0,NA,1
"loc0531",NA,0.3684,-0.125
"loc0532",0.6316,NA,NA
"loc0533",0.6316,0.625,0
"loc0534",NA,-0.0909,0
"loc0535",NA,-0.0909,0
"loc0536",0.6316,-0.0909,NA
"loc0537",-0.4,-0.0909,-0.0588
"loc0538",-0.1667,-0.0909,NA
"loc0539",-0.4,-0.3636,0.25
"loc0540",0,0.1429,0.1
"loc0541",NA,NA,-0.0588
"loc0542",NA,NA,-0.0588
"loc0543",NA,NA,-0.0588
"loc0544",NA,NA,-0.0588
"loc0545",NA,-0.2,NA
"loc0546",-0.0769,0,0
"loc0547",-0.1667,0,-0.0588
"loc0548",0.5172,-0.0909,0.3864
"loc0549",-0.4483,NA,NA
"loc0550",-0.0769,0.2174,0.1
"loc0551",-0.4483,NA,NA
"loc0552",NA,0,0
"loc0553",-0.0769,0.625,-0.0588
"loc0554",-0.0769,NA,NA
"loc0555",0,-0.2,NA
"loc0556",-0.5556,-0.3333,-1
"loc0557",-0.2727,-0.3333,-0.2857
"loc0558",-0.4,-0.5,-1
"loc0559",0,-0.5,-0.6364
"loc0560",0,-0.0909,-0.2
"loc0561",0,-0.3333,-0.2857
"loc0562",0,NA,-0.0588
"loc0563",0.3,-0.5,0.25
"loc0564",0.1923,-0.0909,NA
"loc0565",0,NA,1
"loc0566",-0.0769,-0.0909,NA
"loc0567",-0.1667,-0.0909,-0.0588
"loc0568",NA,0,-0.125
"loc0569",-0.2069,-0.0909,-0.0588
"loc0570",0.0667,0.7273,-0.2
"loc0571",NA,0.625,0
"loc0572",0,0.3684,0.0426
"loc0573",NA,NA,-0.0588
"loc0574",NA,1,NA
"loc0575",NA,NA,-0.0588
"loc0576",0,NA,0
"loc0577",0,NA,0
"loc0578",0,1,0.1
"loc0579",0.0667,0.2174,-0.2857
"loc0580",NA,0,0
"loc0581",-0.1667,0.3684,0.3864
"loc0582",-0.2727,0,0
"loc0583",-0.2727,0,0
"loc0584",NA,NA,-0.125
"loc0585",NA,0.3684,NA
"loc0586",NA,1,NA
"loc0587",-0.2069,0.7273,0.3864
"loc0588",0,-0.0909,0.7568
"loc0589",0,-0.0909,-0.125
"loc0590",-0.75,-0.5,0.0426
"loc0591",-0.4483,-0.5,-0.2857
"loc0592",1,-0.0909,0.7568
"loc0593",1,-0.0909,0.7568
"loc0594",1,-0.0909,0.7568
"loc0595",1,-0.0909,0.7568
"loc0596",-0.5556,-0.5,-0.1489
"loc0597",-0.5556,-0.5,-0.1489
"loc0598",-0.4483,-0.5,-0.3846
"loc0599",-0.5556,-0.5,-0.1489
"loc0600",-0.5556,-0.5,-0.1489
"loc0601",-0.4483,-0.5,-0.3846
"loc0602",NA,1,0.1
"loc0603",0,NA,-0.0588
"loc0604",-0.0769,0,NA
"loc0605",0.5172,0.3684,0.4375
"loc0606",0.3913,0.4783,0.64
"loc0607",NA,0,0
"loc0608",0,0.1429,0.64
"loc0609",0,NA,0
"loc0610",0,0.75,0.0426
"loc0611",0,0.75,0.0426
"loc0612",NA,NA,-0.0588
"loc0613",0,NA,-0.0588
"loc0614",-0.2727,-0.3333,0.25
"loc0615",-1,0.1429,-0.2
"loc0616",-0.0769,NA,NA
"loc0617",-0.1667,NA,0
"loc0618",0,0,NA
"loc0619",-0.0769,NA,NA
"loc0620",0,-0.3333,0.7568
"loc0621",0,0.1429,0.7568
"loc0622",0,0.1429,0.7568
"loc0623",0,0.1429,0.7568
"loc0624",0,0.1429,0.7568
"loc0625",0,0.1429,0.7568
"loc0626",0,0.1429,0.7568
"loc0627",0,0.3684,0.7568
"loc0628",0,0.3684,0.7568
"loc0629",NA,-0.0909,-0.0588
"loc0630",0,0.3684,0.7568
"loc0631",NA,-0.0909,-0.0588
"loc0632",0,0.1429,0.7568
"loc0633",0,0.1429,0.7568
"loc0634",0,0.1429,0.7568
"loc0635",0,0,0
"loc0636",0,0.3684,1
"loc0637",0,0.3684,1
"loc0638",NA,NA,1
"loc0639",0,0,-0.125
"loc0640",NA,0.625,-0.2
"loc0641",0,-0.0909,0.2174
"loc0642",-0.2727,0.1429,-0.0465
"loc0643",NA,0,-0.125
"loc0644",NA,0,0.4375
"loc0645",-0.0769,0.3684,0
"loc0646",-0.1667,NA,NA
"loc0647",NA,1,NA
"loc0648",NA,-0.0909,0.25
"loc0649",0,-0.0909,-0.2
"loc0650",0,NA,0
"loc0651",-0.4,-0.0909,0.617
"loc0652",NA,-0.0909,0
"loc0653",NA,0,0
"loc0654",-0.2727,0,-0.2
"loc0655",-0.75,-0.5,-0.0465
"loc0656",0,-0.0909,0.3864
"loc0657",-0.1667,NA,-0.2857
"loc0658",0,NA,-0.2
"loc0659",-0.2727,NA,-0.125
"loc0660",NA,NA,-0.0588
"loc0661",0,-0.0909,0.25
"loc0662",0,0.3684,0.1
"loc0663",-0.1667,0,-0.0588
"loc0664",NA,0,-0.0588
"loc0665",0,NA,-0.125
"loc0666",0,NA,0
"loc0667",0,NA,-0.0588
"loc0668",0,0.2174,-0.3846
"loc0669",-0.0769,NA,-0.0588
"loc0670",-0.0769,NA,-0.0588
"loc0671",-0.0769,-0.0909,-0.125
"loc0672",0.6316,-0.2,NA
"loc0673",0,0,NA
"loc0674",-0.0769,NA,0
"loc0675",-0.0769,NA,NA
"loc0676",-0.2069,0.3684,0.0426
"loc0677",0,NA,0
"loc0678",0,-0.3333,-0.2
"loc0679",0,-0.3636,-0.1489
"loc0680",0,NA,0
"loc0681",-0.0769,0.625,0.561
"loc0682",-0.0769,0,-0.0588
"loc0683",NA,NA,0.64
"loc0684",0,0,0
"loc0685",NA,-0.0909,NA
"loc0686",0.3913,NA,NA
"loc0687",0.5484,0.625,0.64
"loc0688",0,0,0
"loc0689",0,NA,0.2174
"loc0690",0,0,0
"loc0691",NA,0,0
"loc0692",NA,0.4783,0
"loc0693",NA,0.3684,NA
"loc0694",-0.4,NA,0.4194
"loc0695",-0.1667,0.625,-0.2
"loc0696",-0.2727,-0.3333,-0.2
"loc0697",0,0,NA
"loc0698",0,0,0
"loc0699",-0.4,-0.0909,-0.5
"loc0700",-0.0769,-0.0909,-0.2
"loc0701",0,0,0
"loc0702",NA,0,1
"loc0703",0,-0.2,NA
"loc0704",0,-0.0909,NA
"loc0705",-0.5556,-0.0909,0.2174
"loc0706",-0.4483,0.1429,-0.2857
"loc0707",-0.2727,-0.2,0.561
"loc0708",-0.1667,-0.0909,-0.0588
"loc0709",0.3,-0.7143,-0.8
"loc0710",0,NA,0
"loc0711",-0.4,-0.7143,-0.6364
"loc0712",-0.0769,-0.5,-0.5
"loc0713",0.0667,0.2174,-0.1489
"loc0714",-0.0769,NA,0
"loc0715",NA,-0.0909,-0.125
"loc0716",-0.2069,0.4783,0.2174
"loc0717",NA,-0.0909,NA
"loc0718",0.7407,0.3684,-0.0465
"loc0719",NA,NA,-0.0588
"loc0720",0.3913,-0.0909,-0.0465
"loc0721",-0.0769,NA,0
"loc0722",0,-0.7143,0.2174
"loc0723",NA,0,0
"loc0724",NA,0,-0.125
"loc0725",-1,-0.7143,-0.6364
"loc0726",-1,-0.7143,-0.6364
"loc0727",-1,-0.5,-0.8
"loc0728",-1,-0.5,-0.8
"loc0729",-1,-0.5,-0.8
"loc0730",-1,-0.5,-0.8
"loc0731",-1,-0.5,-0.8
"loc0732",-1,-0.5,-0.8
"loc0733",-1,-0.5,-0.8
"loc0734",-1,-0.5,-0.8
"loc0735",-1,-0.5,-0.8
"loc0736",-1,-0.5,-0.6364
"loc0737",-1,-0.5,-0.8
"loc0738",-1,-0.5,-0.8
"loc0739",-1,-0.5,-0.8
"loc0740",-1,-0.5,-0.8
"loc0741",-1,-0.5,-0.8
"loc0742",-1,-0.5,-0.8
"loc0743",-1,-0.5,-0.6364
"loc0744",-1,-0.5,-0.6364
"loc0745",-1,-0.5,-0.6364
"loc0746",-1,-0.5,-0.6364
"loc0747",-0.75,-0.5,-0.6364
"loc0748",-0.75,-0.5,-0.8
"loc0749",-0.75,-0.5,-0.8
"loc0750",-0.75,-0.5,-0.8
"loc0751",NA,0,-0.125
"loc0752",-0.1667,0,0
"loc0753",NA,0,0
"loc0754",0,NA,0
"loc0755",NA,0,0
"loc0756",-0.5556,-0.7143,0.3864
"loc0757",0,NA,-0.125
"loc0758",NA,NA,-0.0588
"loc0759",NA,NA,-0.0588
"loc0760",NA,NA,-0.0588
"loc0761",0.3,1,0.617
"loc0762",0.1923,0.7273,-0.2857
"loc0763",-0.0769,NA,-0.0588
"loc0764",-0.0769,NA,-0.0588
"loc0765",-0.2727,-0.3333,-0.0588
"loc0766",-0.2727,-0.3333,-0.0588
"loc0767",-0.2727,NA,-0.0588
"loc0768",0,0,1
"loc0769",0,0,1
"loc0770",0,0,1
"loc0771",0,NA,1
"loc0772",0,NA,1
"loc0773",0,NA,1
"loc0774",0,NA,1
"loc0775",0,NA,1
"loc0776",0,NA,0
"loc0777",0.1923,0.4783,0.0426
"loc0778",-0.75,0.1429,0.2174
"loc0779",NA,-0.0909,-0.2
